"Time","VehicleId","Pos_x","Pos_y","Type","Speed","Lane","Slope","LeaderID","LeaderSpeed","LeaderGap","Acceleration"
"6.10","vehicle_5","-1.60","78.73","type4","10.05","north_down_0","0.00","vehicle_4","11.24","12.59","2.65"
"6.10","x","-63.40","-1.60","obstacle","5.41","west_right_0","0.00","-1","-1","-1","-4.00"
"6.20","vehicle_0","-76.37","-1.60","type1","5.41","west_right_0","0.00","x","5.01","8.47","-0.24"
"6.20","vehicle_1","-92.59","-1.60","type5","2.53","west_right_0","0.00","vehicle_0","5.41","11.21","1.24"
"6.20","vehicle_2","37.58","1.60","type3","11.07","east_left_0","0.00","-1","-1","-1","-2.00"
"6.20","vehicle_3","51.28","1.60","type3","10.33","east_left_0","0.00","vehicle_2","11.07","8.70","-2.00"
"6.20","vehicle_4","-1.60","59.98","type2","11.54","north_down_0","0.00","-1","-1","-1","2.98"
"6.20","vehicle_5","-1.60","77.72","type4","10.08","north_down_0","0.00","vehicle_4","11.54","12.74","0.28"
"6.20","x","-62.90","-1.60","obstacle","5.01","west_right_0","0.00","-1","-1","-1","-4.00"
"6.30","vehicle_0","-75.86","-1.60","type1","5.12","west_right_0","0.00","x","4.61","8.42","-2.84"
"6.30","vehicle_1","-92.31","-1.60","type5","2.72","west_right_0","0.00","vehicle_0","5.12","11.45","1.87"
"6.30","vehicle_2","36.49","1.60","type3","10.87","east_left_0","0.00","-1","-1","-1","-2.00"
"6.30","vehicle_3","50.27","1.60","type3","10.13","east_left_0","0.00","vehicle_2","10.87","8.78","-2.00"
